секунда,широта,долгота,высота,заряд,режим,шаг
42,-35.3623924,149.1661530,607.75,88.0,GUIDED,FLY_TO_POINT
43,-35.3624115,149.1661530,607.30,88.0,GUIDED,FLY_TO_POINT
43,-35.3624382,149.1661530,606.88,88.0,GUIDED,FLY_TO_POINT
44,-35.3624725,149.1661530,606.47,88.0,GUIDED,FLY_TO_POINT
44,-35.3625069,149.1661530,606.06,87.0,GUIDED,FLY_TO_POINT
45,-35.3625488,149.1661530,605.62,87.0,GUIDED,FLY_TO_POINT
45,-35.3625870,149.1661530,605.22,87.0,GUIDED,FLY_TO_POINT
46,-35.3626289,149.1661530,604.82,87.0,GUIDED,FLY_TO_POINT
46,-35.3626709,149.1661530,604.41,87.0,GUIDED,FLY_TO_POINT
47,-35.3627129,149.1661530,603.99,87.0,GUIDED,FLY_TO_POINT
47,-35.3627548,149.1661377,603.59,86.0,GUIDED,FLY_TO_POINT
48,-35.3627968,149.1661377,603.20,86.0,GUIDED,FLY_TO_POINT
48,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
49,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
49,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
50,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
50,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
51,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
51,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
52,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
52,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
53,-35.3628311,149.1661377,602.92,86.0,GUIDED,FLY_TO_POINT
55,-35.3632698,149.1661377,599.10,84.0,GUIDED,FLY_TO_POINT
56,-35.3632698,149.1661377,599.05,84.0,GUIDED,FLY_TO_POINT
56,-35.3632660,149.1661377,598.74,84.0,GUIDED,FLY_TO_POINT
57,-35.3632660,149.1661224,598.20,84.0,GUIDED,FLY_TO_POINT
57,-35.3632660,149.1661072,597.60,84.0,GUIDED,FLY_TO_POINT
58,-35.3632660,149.1660767,597.05,84.0,GUIDED,FLY_TO_POINT
58,-35.3632660,149.1660461,596.54,83.0,GUIDED,FLY_TO_POINT
59,-35.3632660,149.1660004,596.02,83.0,GUIDED,FLY_TO_POINT
59,-35.3632660,149.1659698,595.54,83.0,GUIDED,FLY_TO_POINT
60,-35.3632660,149.1659088,595.06,83.0,GUIDED,FLY_TO_POINT
60,-35.3632660,149.1658783,594.59,83.0,GUIDED,FLY_TO_POINT
61,-35.3632660,149.1658325,594.08,83.0,GUIDED,FLY_TO_POINT
61,-35.3632622,149.1657715,593.61,83.0,GUIDED,FLY_TO_POINT
62,-35.3632622,149.1657257,593.14,83.0,GUIDED,FLY_TO_POINT
62,-35.3632622,149.1656647,592.68,82.0,GUIDED,FLY_TO_POINT
63,-35.3632622,149.1656036,592.21,82.0,GUIDED,FLY_TO_POINT
63,-35.3632622,149.1655579,591.73,82.0,GUIDED,FLY_TO_POINT
64,-35.3632622,149.1655121,591.28,82.0,GUIDED,FLY_TO_POINT
64,-35.3632622,149.1654510,590.83,82.0,GUIDED,FLY_TO_POINT
65,-35.3632622,149.1654053,590.39,82.0,GUIDED,FLY_TO_POINT
65,-35.3632622,149.1653595,589.92,81.0,GUIDED,FLY_TO_POINT
66,-35.3632622,149.1653137,589.52,81.0,GUIDED,FLY_TO_POINT
66,-35.3632622,149.1652832,589.21,81.0,GUIDED,FLY_TO_POINT
67,-35.3632622,149.1652679,589.05,81.0,GUIDED,FLY_TO_POINT
67,-35.3632622,149.1652374,589.06,81.0,GUIDED,FLY_TO_POINT
68,-35.3632622,149.1652374,589.09,81.0,GUIDED,SEND_LANDING
68,-35.3632622,149.1652222,589.06,81.0,LAND,WAIT_LANDING_RESPONSE
69,-35.3632622,149.1652222,588.84,81.0,LAND,WAIT_LANDING_RESPONSE
69,-35.3632622,149.1652374,588.54,80.0,LAND,WAIT_LANDING_RESPONSE
70,-35.3632622,149.1652374,588.27,80.0,LAND,WAIT_LANDING_RESPONSE
70,-35.3632622,149.1652374,588.03,80.0,LAND,WAIT_LANDING_RESPONSE
71,-35.3632622,149.1652374,587.78,80.0,LAND,WAIT_LANDING_RESPONSE
71,-35.3632622,149.1652374,587.52,80.0,LAND,WAIT_LANDING_RESPONSE
72,-35.3632660,149.1652374,587.28,80.0,LAND,WAIT_LANDING_RESPONSE
72,-35.3632660,149.1652374,587.03,79.0,LAND,WAIT_LANDING_RESPONSE
73,-35.3632660,149.1652374,586.79,79.0,LAND,WAIT_LANDING_RESPONSE
73,-35.3632660,149.1652374,586.52,79.0,LAND,WAIT_LANDING_RESPONSE
74,-35.3632660,149.1652374,586.28,79.0,LAND,WAIT_LANDING_RESPONSE
74,-35.3632660,149.1652374,586.04,79.0,LAND,WAIT_LANDING_RESPONSE
75,-35.3632660,149.1652374,585.79,79.0,LAND,WAIT_LANDING_RESPONSE
75,-35.3632660,149.1652374,585.52,79.0,LAND,WAIT_LANDING_RESPONSE
76,-35.3632622,149.1652374,585.28,79.0,LAND,WAIT_LANDING_RESPONSE
76,-35.3632622,149.1652374,585.03,78.0,LAND,WAIT_LANDING_RESPONSE
77,-35.3632622,149.1652374,584.78,78.0,LAND,WAIT_LANDING_RESPONSE
77,-35.3632622,149.1652374,584.54,78.0,LAND,WAIT_LANDING_RESPONSE
78,-35.3632622,149.1652374,584.27,78.0,LAND,MISSION_COMPLETE
